metric,k,nodes,edges,density,mean_weighted_degree,median_weighted_degree,isolated_nodes
cosine,5,10728,14392,0.0002501232715651203,2.4802982319068954,2.6538938273229595,953
cosine,10,10728,30245,0.0005256377396113857,5.129075751523171,5.237948011916597,248
cosine,20,10728,62621,0.0010883108246719983,10.416737509328007,10.370403153959675,34
cosine,30,10728,95851,0.0016658258548352103,15.742750617047488,15.727119559090335,7
euclidean,5,10728,13850,0.0002407036764297468,0.9407697893956403,0.8196098692886112,1055
euclidean,10,10728,28795,0.000500437715725239,1.826193026139987,1.6504714652677186,300
euclidean,20,10728,58077,0.0010093391636108596,3.456474674948014,3.135921701102486,73
euclidean,30,10728,87448,0.0015197873715832853,5.022413304458414,4.5707241674494545,23
