threshold,precision,recall,f1
0.05,0.12552221800227878,0.9977358490566037,0.222990638441427
0.055,0.12631478294128898,0.9969811320754717,0.22422133582279555
0.06,0.1271659607239122,0.9969811320754717,0.22556134209852302
0.065,0.12809075923591584,0.9969811320754717,0.22701495102251246
0.07,0.1293069694596711,0.9969811320754717,0.22892297027987177
0.075,0.1307403008709422,0.9969811320754717,0.23116633126257766
0.08,0.13215859030837004,0.9962264150943396,0.23335985149827632
0.08499999999999999,0.13389503603695058,0.9954716981132076,0.23604151753758054
0.09,0.13577830431647264,0.9947169811320755,0.23894126178390138
0.095,0.13825658239798594,0.9947169811320755,0.24277030760729415
0.09999999999999999,0.14052496798975672,0.9939622641509434,0.24623726278395813
0.105,0.14279490251606577,0.9894339622641509,0.24957167332952598
0.10999999999999999,0.14534754608039085,0.9879245283018868,0.25341206078791984
0.11499999999999999,0.14829113205404792,0.9856603773584905,0.2577970785629688
0.12,0.15138840478680143,0.9833962264150944,0.26238421264599276
0.12499999999999999,0.15451306413301663,0.9818867924528302,0.2670087224217547
0.13,0.15792682926829268,0.9773584905660377,0.2719160104986877
0.135,0.1609353507565337,0.9713207547169811,0.27612100407637846
0.13999999999999999,0.16501480241987385,0.9675471698113207,0.28194413899274245
0.145,0.1690680766688698,0.9652830188679246,0.2877390326209224
0.14999999999999997,0.1733151803948264,0.9607547169811321,0.2936562860438293
0.15499999999999997,0.17937473475739144,0.9569811320754718,0.3021205623064093
0.15999999999999998,0.18499486125385406,0.9509433962264151,0.30973451327433627
0.16499999999999998,0.19132029339853301,0.9449056603773585,0.3182107002160376
0.16999999999999998,0.19821967890637418,0.9411320754716981,0.327468487394958
0.175,0.2050132802124834,0.9320754716981132,0.3361001496802286
0.18,0.21121883656509696,0.9207547169811321,0.343613575552739
0.185,0.21823104693140793,0.9124528301886793,0.35222141296431175
0.19,0.22671683913452492,0.909433962264151,0.3629518072289157
0.195,0.23490196078431372,0.9041509433962264,0.3729182879377432
0.19999999999999996,0.2429009193054137,0.8973584905660378,0.3823151125401929
0.20499999999999996,0.2510611205432937,0.8928301886792452,0.3919165148252443
0.20999999999999996,0.2596856320566748,0.8852830188679245,0.4015748031496063
0.21499999999999997,0.2681242807825086,0.879245283018868,0.4109347442680776
0.21999999999999997,0.2782171099928109,0.8762264150943396,0.4223353946889778
0.22499999999999998,0.28529121421520237,0.8724528301886793,0.4299795424958155
0.22999999999999998,0.29301143583227446,0.870188679245283,0.43840304182509504
0.235,0.3016833245660179,0.8656603773584906,0.447435147259606
0.24,0.3105792765841719,0.8618867924528302,0.4566173530587765
0.245,0.3182326621923937,0.8588679245283019,0.46439502142419914
0.24999999999999994,0.32229517556380244,0.8520754716981133,0.46768848384424194
0.25499999999999995,0.32798833819241985,0.8490566037735849,0.47318611987381703
0.25999999999999995,0.33274021352313166,0.8467924528301887,0.477751756440281
