policy,budget_fraction,intervention_effect,mean_readmission_rate,sd_readmission_rate,mean_absolute_reduction,mean_relative_reduction,mean_prevented,sd_prevented,mean_efficiency,n_replications,ci95_low,ci95_high
random,0.2,0.5,0.11068978374347502,0.002454563617165937,0.01229958985831469,0.10000658924400842,131.95,10.72274557784865,0.06148648648648648,100,0.011818495389350167,0.012780684327279213
random,0.3,0.1,0.11929250559284116,0.0025235470541230425,0.0036968680089485445,0.030061465539372893,39.66,6.840491446696152,0.012324425108763207,100,0.003202252786340428,0.00419148323155666
random,0.3,0.2,0.11557979120059658,0.002612372920907725,0.007409582401193139,0.060263941087741385,79.49,9.40179974174298,0.024701678060907395,100,0.006897557308695225,0.007921607493691054
random,0.3,0.3,0.11190063385533185,0.00243470917145264,0.011088739746457865,0.09015098158577581,118.96,11.231197530975848,0.03696706028589186,100,0.010611536748853147,0.011565942744062582
random,0.3,0.5,0.10454325130499628,0.0023771068463038273,0.018446122296793436,0.14996938268640825,197.89,13.79788814173087,0.0614947172156619,100,0.017980209354917887,0.018912035238668985
risk_network,0.05,0.1,0.11970824011931396,0.002582130308595405,0.003281133482475763,0.026694441773914276,35.2,5.4679968817648295,0.06567164179104477,100,0.0027750359419910636,0.003787231022960463
risk_network,0.05,0.2,0.11632177479492915,0.0027119262401044102,0.006667598806860551,0.05425403936223006,71.53,7.642854985097671,0.13345149253731342,100,0.006136061263800087,0.007199136349921015
risk_network,0.05,0.3,0.113027591349739,0.002715768894917247,0.009961782252050707,0.08103975223418491,106.87,9.717894563508846,0.19938432835820893,100,0.009429491548646926,0.010494072955454488
risk_network,0.05,0.5,0.10641685309470544,0.0026191740480115506,0.016572520507084264,0.13479770403577163,177.79,9.26849229890976,0.3316977611940298,100,0.016059162393674,0.017085878620494526
risk_network,0.1,0.1,0.11752423564504101,0.0025702454314538905,0.005465137956748693,0.04445288526994694,58.63,6.845561859461732,0.05464119291705499,100,0.004961369852183731,0.005968906061313656
risk_network,0.1,0.2,0.11195283370618941,0.002751092513678668,0.011036539895600297,0.08979126172718814,118.4,9.181668165591168,0.11034482758620691,100,0.010497325762919278,0.011575754028281315
risk_network,0.1,0.3,0.10650447427293065,0.0027001099923271827,0.01648489932885906,0.1340871111802867,176.85,11.359484089864239,0.16481826654240447,100,0.01595567777036293,0.017014120887355186
risk_network,0.1,0.5,0.09557513049962715,0.002478070794115394,0.027414243102162564,0.22295461404057318,294.1,10.548110080134082,0.27409133271202235,100,0.02692854122651595,0.02789994497780918
risk_network,0.2,0.1,0.1147231543624161,0.002507445920862852,0.0082662192393736,0.06722043518487938,88.68,8.297352626353815,0.04132339235787511,100,0.007774759838884482,0.00875767863986272
risk_network,0.2,0.2,0.1063888888888889,0.002628563226602856,0.01660048471290082,0.13501997091116272,178.09,10.466005576497308,0.08298695246971109,100,0.016085286320486662,0.01711568310531498
risk_network,0.2,0.3,0.09821401938851602,0.0025139529675762182,0.024775354213273676,0.20147853531942087,265.79,13.10354643953038,0.12385368126747437,100,0.024282619431628738,0.025268088994918614
risk_network,0.2,0.5,0.081720730797912,0.002327976555057481,0.0412686428038777,0.33559665667023714,442.73,14.444498445897507,0.20630475302889095,100,0.04081235939908644,0.041724926208668967
risk_network,0.3,0.1,0.11361111111111111,0.0025368159694139445,0.009378262490678597,0.07626672460434163,100.61,9.099777997070014,0.03126476072094468,100,0.008881046560673464,0.00987547842068373
risk_network,0.3,0.2,0.1041899701715138,0.002734322037132782,0.01879940343027591,0.15291082429379999,201.68,12.58255967920709,0.06267246737103792,100,0.018263476310997888,0.019335330549553935
risk_network,0.3,0.3,0.09491051454138702,0.0025947148013307857,0.028078859060402684,0.22834433808564575,301.23,15.398317499590071,0.09360783095090118,100,0.02757029495934185,0.028587423161463517
risk_network,0.3,0.5,0.07619034302759135,0.0023966039257013157,0.046799030574198354,0.3805655580550376,502.06,17.369903147500143,0.1560161591050342,100,0.046329296204760895,0.04726876494363581
risk_only,0.05,0.1,0.11892524235645041,0.0025859072165435775,0.004064131245339298,0.033059847430187264,43.6,6.717984305676303,0.08134328358208956,100,0.0035572934308967566,0.004570969059781839
risk_only,0.05,0.2,0.11483594332587621,0.0026768908833639227,0.008153430275913498,0.06633247060685807,87.47,7.9664130807872,0.1631902985074627,100,0.0076287596627741695,0.008678100889052827
risk_only,0.05,0.3,0.11073639075316928,0.0026447991068955347,0.012252982848620433,0.09966446090203716,131.45,9.722799405666466,0.24524253731343282,100,0.011734602223668908,0.012771363473571959
risk_only,0.05,0.5,0.10257270693512303,0.0026661836553757974,0.020416666666666666,0.16606693456050348,219.03,10.636752561308606,0.40863805970149253,100,0.01989409467021301,0.02093923866312032
risk_only,0.1,0.1,0.1166769202087994,0.0025130023187035586,0.006312453392990305,0.05133375373547891,67.72,7.312753492109768,0.06311276794035414,100,0.005819904938524407,0.006805001847456203
risk_only,0.1,0.2,0.11031319910514542,0.0026291341236525565,0.012676174496644295,0.10310354036090347,135.99,9.744716258029015,0.1267381174277726,100,0.012160864208408393,0.013191484784880197
risk_only,0.1,0.3,0.10405853840417599,0.002575063156958788,0.01893083519761372,0.15395536916642452,203.09,12.182198471374512,0.1892730661696179,100,0.018426122818849797,0.019435547576377644
risk_only,0.1,0.5,0.09142897091722596,0.002504293738913193,0.031560402684563754,0.2566673089046759,338.58,13.08031136688058,0.31554520037278655,100,0.031069561111736768,0.03205124425739074
risk_only,0.2,0.1,0.11452740492170023,0.00251062910318028,0.008461968680089485,0.06881296257672626,90.78,8.315228818440914,0.04230195712954334,100,0.00796988537586615,0.00895405198431282
risk_only,0.2,0.2,0.10599552572706936,0.002667443469722251,0.016993847874720355,0.13822251405320768,182.31,11.094356559744579,0.0849534016775396,100,0.016471028954654795,0.017516666794785914
risk_only,0.2,0.3,0.09759694258016406,0.00253863511881873,0.02539243102162565,0.20650070516870084,272.41,13.249047993243623,0.1269384902143523,100,0.02489485853833718,0.02589000350491412
risk_only,0.2,0.5,0.08062546607009694,0.002337903644479661,0.042363907531692765,0.34450165277088346,454.48,15.099989965880663,0.21178005591798693,100,0.041905678417374755,0.042822136646010776
risk_only,0.3,0.1,0.11350950782997764,0.0025313602119419742,0.00947986577181208,0.07709226061551987,101.7,9.1104335791443,0.031603480422622746,100,0.008983719170271453,0.009976012373352708
risk_only,0.3,0.2,0.10402311707680836,0.0026948957585594905,0.018966256524981358,0.15426442783254143,203.47,12.106810004491212,0.06322871348663767,100,0.018438056956303697,0.01949445609365902
risk_only,0.3,0.3,0.09465697240865026,0.002579226793554357,0.02833240119313945,0.2304059353604713,303.95,15.192618489439424,0.09445307644499688,100,0.027826872741602796,0.028837929644676102
risk_only,0.3,0.5,0.07576155853840418,0.0023521437063729485,0.04722781506338554,0.38405589363813725,506.66,16.413359919236036,0.15744561839651958,100,0.04676679489693644,0.047688835229834636
