policy,replication,readmission_rate,absolute_reduction,intervention_count
risk_only,26,0.10626398210290827,0.01295674869500374,1073
network_only,26,0.1174496644295302,0.0017710663683818129,1073
risk_network,26,0.10840790454884415,0.010812826249067861,1073
random,27,0.11968680089485459,0.0024235645041014164,1073
feature_only,27,0.10831469052945562,0.013795674869500382,1073
risk_only,27,0.10831469052945562,0.013795674869500382,1073
network_only,27,0.1208985831469053,0.0012117822520507082,1073
risk_network,27,0.11036539895600299,0.011744966442953017,1073
random,28,0.12136465324384788,0.0025167785234899293,1073
feature_only,28,0.1104586129753915,0.013422818791946303,1073
risk_only,28,0.1104586129753915,0.013422818791946303,1073
network_only,28,0.12183072334079045,0.0020507084265473513,1073
risk_network,28,0.11139075316927666,0.012490678598061147,1073
random,29,0.12145786726323639,0.002982848620432521,1073
feature_only,29,0.11288217747949292,0.011558538404175991,1073
risk_only,29,0.11288217747949292,0.011558538404175991,1073
network_only,29,0.12239000745712156,0.0020507084265473513,1073
risk_network,29,0.11446681580909769,0.009973900074571218,1073
random,30,0.12639821029082773,0.0015846383296047872,1073
feature_only,30,0.11539895600298285,0.012583892617449674,1073
risk_only,30,0.11539895600298285,0.012583892617449674,1073
network_only,30,0.12630499627143923,0.0016778523489932862,1073
risk_network,30,0.11707680835197613,0.010906040268456388,1073
random,31,0.12360178970917227,0.0029828486204324933,1073
feature_only,31,0.11372110365398956,0.012863534675615199,1073
risk_only,31,0.11372110365398956,0.012863534675615199,1073
network_only,31,0.12453392990305742,0.0020507084265473374,1073
risk_network,31,0.1156785980611484,0.01090604026845636,1073
random,32,0.12071215510812826,0.0027964205816554816,1073
feature_only,32,0.11120432513049963,0.012304250559284108,1073
risk_only,32,0.11120432513049963,0.012304250559284108,1073
network_only,32,0.12164429530201343,0.0018642803877703118,1073
risk_network,32,0.1122296793437733,0.011278896346010439,1073
random,33,0.12145786726323639,0.002982848620432521,1073
feature_only,33,0.11139075316927666,0.013049962714392252,1073
risk_only,33,0.11139075316927666,0.013049962714392252,1073
network_only,33,0.12257643549589858,0.0018642803877703257,1073
risk_network,33,0.11325503355704698,0.011185682326621926,1073
random,34,0.12257643549589858,0.0028896346010439944,1073
feature_only,34,0.11269574944071588,0.0127703206562267,1073
