policy,replications,patients_per_replication,intervention_count,mean_readmission_rate,sd_readmission_rate,ci95_low,ci95_high,mean_prevented_vs_no_intervention,mean_absolute_reduction,mean_relative_reduction,mean_intervention_efficiency
no_intervention,100.0,10728.0,0.0,0.12324105145413869,0.0025609973200607836,0.12273909597940677,0.12374300692887061,0.0,0.0,0.0,
random,100.0,10728.0,1073.0,0.12080723340790456,0.0025797881961624057,0.12030159492145673,0.12131287189435239,26.11,0.002433818046234153,0.01975250968137001,0.0243336439888164
risk_based,100.0,10728.0,1073.0,0.11053877703206563,0.0025493657763743316,0.11003910133989626,0.111038452724235,136.27,0.012702274422073079,0.10307966857361547,0.1269990680335508
network_informed,100.0,10728.0,1073.0,0.11214485458612974,0.0025736952082739406,0.11164041032530805,0.11264929884695143,119.04,0.011096196868008947,0.09005265045215177,0.11094128611369992
