seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
42,0,random,0.1256524981357196,0.002237136465324391,1073
42,0,risk_only,0.11577181208053691,0.012117822520507082,1073
42,0,network_only,0.12593214019388516,0.0019574944071588385,1073
42,0,risk_network,0.11735645041014169,0.010533184190902309,1073
42,1,random,0.12024608501118568,0.0023303504847129036,1073
42,1,risk_only,0.11064504101416853,0.011931394481730057,1073
42,1,network_only,0.12033929903057419,0.002237136465324391,1073
42,1,risk_network,0.11185682326621924,0.010719612229679348,1073
42,2,random,0.11828859060402684,0.0023303504847129036,1073
42,2,risk_only,0.10999254287844892,0.010626398210290822,1073
42,2,network_only,0.11847501864280388,0.002143922445935864,1073
42,2,risk_network,0.11148396718866517,0.009134973900074575,1073
42,3,random,0.11763609246830724,0.0025167785234899293,1073
42,3,risk_only,0.10878076062639822,0.011372110365398952,1073
42,3,network_only,0.11875466070096942,0.0013982102908277477,1073
42,3,risk_network,0.11064504101416853,0.00950782997762864,1073
42,4,random,0.11987322893363161,0.0028896346010439944,1073
42,4,risk_only,0.10943325876211782,0.01332960477255779,1073
42,4,network_only,0.12080536912751678,0.0019574944071588246,1073
42,4,risk_network,0.11195003728560776,0.010812826249067847,1073
42,5,random,0.12145786726323639,0.003076062639821034,1073
42,5,risk_only,0.11204325130499627,0.012490678598061147,1073
42,5,network_only,0.12201715137956749,0.0025167785234899293,1073
42,5,risk_network,0.11409395973154363,0.010439970171513796,1073
42,6,random,0.11651752423564504,0.0027964205816554816,1073
42,6,risk_only,0.10607755406413125,0.013236390753169278,1073
42,6,network_only,0.1174496644295302,0.0018642803877703257,1073
42,6,risk_network,0.10766219239373602,0.011651752423564504,1073
42,7,random,0.12285607755406414,0.0025167785234899154,1073
42,7,risk_only,0.11306860551826994,0.012304250559284108,1073
42,7,network_only,0.12360178970917227,0.001771066368381785,1073
42,7,risk_network,0.11446681580909769,0.01090604026845636,1073
42,8,random,0.12341536167039523,0.002237136465324377,1073
42,8,risk_only,0.11390753169276659,0.011744966442953017,1073
42,8,network_only,0.12360178970917227,0.0020507084265473374,1073
42,8,risk_network,0.11521252796420582,0.010439970171513782,1073
42,9,random,0.11875466070096942,0.002982848620432521,1073
42,9,risk_only,0.10980611483967188,0.011931394481730057,1073
42,9,network_only,0.11996644295302013,0.0017710663683818129,1073
42,9,risk_network,0.11195003728560776,0.009787472035794179,1073
42,10,random,0.12425428784489187,0.0024235645041014164,1073
42,10,risk_only,0.11288217747949292,0.013795674869500368,1073
42,10,network_only,0.12453392990305742,0.002143922445935864,1073
42,10,risk_network,0.1156785980611484,0.010999254287844887,1073
42,11,random,0.12248322147651007,0.0028896346010439805,1073
42,11,risk_only,0.11232289336316181,0.013049962714392238,1073
42,11,network_only,0.12313571961222967,0.002237136465324377,1073
42,11,risk_network,0.11428038777032065,0.0110924683072334,1073
42,12,random,0.11959358687546608,0.0020507084265473513,1073
42,12,risk_only,0.10887397464578673,0.0127703206562267,1073
