policy,mean_readmission_rate,sd_readmission_rate,mean_absolute_reduction,ci95_low,ci95_high,mean_intervention_count
feature_only,0.11118008948545861,0.0024538533936254154,0.012573639075316927,0.012396374166123285,0.01275090398451057,1073.0
network_only,0.12201808351976137,0.0023543680186616273,0.0017356450410141685,0.0016603483496337892,0.0018109417323945486,1073.0
random,0.1211819537658464,0.0024181234468341546,0.002571774794929157,0.002481853717266588,0.002661695872591726,1073.0
risk_network,0.11275727069351231,0.002534941503923849,0.010996457867263236,0.010825317535226876,0.0111675981992996,1073.0
risk_only,0.11118008948545861,0.0024538533936254154,0.012573639075316927,0.012396374166123285,0.01275090398451057,1073.0
