k,nodes,edges,density,mean_degree,median_degree,min_degree,max_degree,connected_components,largest_component_nodes,largest_component_fraction,isolated_nodes,mean_edge_weight,median_edge_weight
5,50062,434595,0.00034682229248771617,17.362270784227558,18.0,0,30,82,49228,0.9833406575845951,77,0.9184132145899722,0.9260022602067515
10,50062,434595,0.00034682229248771617,17.362270784227558,18.0,0,30,82,49228,0.9833406575845951,77,0.9184132145899722,0.9260022602067515
20,50062,434595,0.00034682229248771617,17.362270784227558,18.0,0,30,82,49228,0.9833406575845951,77,0.9184132145899722,0.9260022602067515
30,50062,434595,0.00034682229248771617,17.362270784227558,18.0,0,30,82,49228,0.9833406575845951,77,0.9184132145899722,0.9260022602067515
