policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
random,6,10728,1073,1278,0.11912751677852348,0.12105524748103172,1306,0.12173750932140194,28,0.002609992542878456,0.02143950995405825,0.0260950605778192
risk_based,6,10728,1073,1142,0.10645041014168531,0.11077668193383391,1306,0.12173750932140194,164,0.015287099179716629,0.12557427258805512,0.15284249767008387
network_informed,6,10728,1073,1167,0.10878076062639822,0.11241783754658474,1306,0.12173750932140194,139,0.012956748695003725,0.10643185298621743,0.12954333643988816
no_intervention,7,10728,0,1312,0.12229679343773303,0.12342287122431879,1312,0.12229679343773303,0,0.0,0.0,
random,7,10728,1073,1289,0.12015287099179717,0.12082216169711468,1312,0.12229679343773303,23,0.002143922445935864,0.017530487804878012,0.021435228331780055
risk_based,7,10728,1073,1179,0.1098993288590604,0.11077668193383391,1312,0.12229679343773303,133,0.012397464578672635,0.10137195121951222,0.1239515377446412
network_informed,7,10728,1073,1184,0.11036539895600299,0.11241783754658474,1312,0.12229679343773303,128,0.011931394481730043,0.09756097560975602,0.11929170549860205
no_intervention,8,10728,0,1329,0.1238814317673378,0.12342287122431879,1329,0.1238814317673378,0,0.0,0.0,
random,8,10728,1073,1299,0.12108501118568232,0.12099352177649146,1329,0.1238814317673378,30,0.0027964205816554816,0.022573363431151246,0.027958993476234855
risk_based,8,10728,1073,1203,0.11213646532438479,0.11077668193383391,1329,0.1238814317673378,126,0.011744966442953017,0.09480812641083519,0.11742777260018639
network_informed,8,10728,1073,1218,0.11353467561521252,0.11241783754658474,1329,0.1238814317673378,111,0.010346756152125283,0.08352144469525963,0.10344827586206896
no_intervention,9,10728,0,1328,0.12378821774794929,0.12342287122431879,1328,0.12378821774794929,0,0.0,0.0,
random,9,10728,1073,1307,0.12183072334079045,0.12083429163732179,1328,0.12378821774794929,21,0.0019574944071588385,0.01581325301204821,0.0195712954333644
risk_based,9,10728,1073,1194,0.11129753914988814,0.11077668193383391,1328,0.12378821774794929,134,0.012490678598061147,0.10090361445783132,0.12488350419384903
network_informed,9,10728,1073,1218,0.11353467561521252,0.11241783754658474,1328,0.12378821774794929,110,0.01025354213273677,0.08283132530120488,0.10251630941286113
no_intervention,10,10728,0,1317,0.12276286353467561,0.12342287122431879,1317,0.12276286353467561,0,0.0,0.0,
